departamento,tasa_de_homicidios,PoblacióntotalDANE
AMAZONAS,10.974808590265834,78857.4
ANTIOQUIA,31.78108571537225,6690497.2
ARAUCA,40.95803598780422,270605.0
ATLANTICO,21.249297281564218,2545566.0
BOGOTA,14.85885665758219,7477551.8
BOLIVAR,18.196160092953583,2170913.2
BOYACA,6.78587600023873,1282306.4
CALDAS,18.459751132609888,993862.6
CAQUETA,32.1482354132684,496214.0
CASANARE,18.89642850298537,375268.2
CAUCA,47.39476229130889,1415165.6
CESAR,19.938966002971863,1065582.8
CHOCO,44.45279127202599,515201.8
CORDOBA,18.563767445333486,1787886.4
CUNDINAMARCA,14.328497075773956,2804212.6
GUAINIA,6.876705866303951,43464.8
GUAVIARE,23.8361073040222,115873.0
HUILA,19.902248620127036,1197080.0
LA GUAJIRA,19.99892452836415,1039853.8
MAGDALENA,18.055419139481636,1299094.0
META,26.653319383173436,1016739.2
NARINO,30.580234689315223,1808903.4
NORTE DE SANTANDER,37.751459607390856,1391002.4
PUTUMAYO,40.452737088362575,359165.2
QUINDIO,36.27930364783562,575013.8
RISARALDA,24.950547264113236,967740.2
SAN ANDRES,31.520974811364304,78405.2
SANTANDER,12.844188786891081,2090815.4
SUCRE,15.32499913507533,877205.6
TOLIMA,19.842032827562026,1419887.4
VALLE DEL CAUCA,48.18732731427288,4756586.4
VAUPES,6.210241574463036,44939.2
VICHADA,25.109383240370892,77325.6
